fw,mver,lts,dst_name,af,dst_addr,src_addr,proto,ttl,size,result,dup,rcvd,sent,min,max,avg,msm_id,prb_id,timestamp,msm_name,from,type,step,stored_timestamp
5080,2.6.2,25,198.41.0.4,4,198.41.0.4,192.168.100.100,ICMP,56.0,32,"[{'rtt': 12.072829}, {'rtt': 11.702154}, {'rtt': 11.5563}]",0,3,3,11.5563,12.072829,11.777094333333332,1009,62504,1789354394,Ping,45.154.224.99,ping,240,1789354483
5080,2.6.2,4,198.41.0.4,4,198.41.0.4,192.168.55.112,ICMP,55.0,32,"[{'rtt': 46.346871}, {'rtt': 45.749308}, {'rtt': 46.062771}]",0,3,3,45.749308,46.346871,46.05298333333334,1009,62517,1789354412,Ping,103.3.80.126,ping,240,1789354494
5080,2.6.2,19,198.41.0.4,4,198.41.0.4,172.20.92.2,ICMP,52.0,32,"[{'rtt': 31.763086}, {'rtt': 30.763023}, {'rtt': 31.435225}]",0,3,3,30.763023,31.763086,31.32044466666667,1009,62520,1789354400,Ping,45.13.105.32,ping,240,1789354495
5080,2.6.2,4,198.41.0.4,4,198.41.0.4,192.168.0.11,ICMP,54.0,32,"[{'rtt': 38.161523}, {'rtt': 40.059782}, {'rtt': 36.355113}]",0,3,3,36.355113,40.059782,38.19213933333334,1009,62536,1789354408,Ping,45.207.19.170,ping,240,1789354452
5080,2.6.2,64,198.41.0.4,4,198.41.0.4,10.210.2.12,ICMP,55.0,32,"[{'rtt': 13.011551}, {'rtt': 13.041073}, {'rtt': 12.206194}]",0,3,3,12.206194,13.041073,12.752939333333336,1009,62537,1789354397,Ping,93.187.44.25,ping,240,1789354467
5080,2.6.2,22,198.41.0.4,4,198.41.0.4,10.0.0.15,ICMP,58.0,32,"[{'rtt': 26.739894}, {'rtt': 26.617725}, {'rtt': 26.80998}]",0,3,3,26.617725,26.80998,26.722533,1009,62558,1789354382,Ping,82.66.199.76,ping,240,1789354422
5080,2.6.2,13,198.41.0.4,4,198.41.0.4,192.168.178.36,ICMP,55.0,32,"[{'rtt': 22.900012}, {'rtt': 23.199561}, {'rtt': 22.36788}]",0,3,3,22.36788,23.199561,22.822484333333335,1009,62568,1789354412,Ping,87.123.241.202,ping,240,1789354493
5080,2.6.2,31,198.41.0.4,4,198.41.0.4,192.168.44.10,ICMP,54.0,32,"[{'rtt': 14.364755}, {'rtt': 13.620703}, {'rtt': 13.720631}]",0,3,3,13.620703,14.364755,13.902029666666666,1009,62595,1789354430,Ping,81.225.75.62,ping,240,1789354457
5080,2.6.2,1,198.41.0.4,4,198.41.0.4,172.16.17.176,ICMP,53.0,32,"[{'rtt': 55.58678}, {'rtt': 42.682261}, {'rtt': 49.904235}]",0,3,3,42.682261,55.58678,49.39109199999999,1009,62613,1789354407,Ping,98.97.1.63,ping,240,1789354481
5080,2.6.2,5,198.41.0.4,4,198.41.0.4,192.168.100.2,ICMP,52.0,32,"[{'rtt': 30.810236}, {'rtt': 31.076742}, {'rtt': 30.617337}]",0,3,3,30.617337,31.076742,30.834771666666665,1009,62625,1789354434,Ping,160.20.40.76,ping,240,1789354479
5080,2.6.2,21,198.41.0.4,4,198.41.0.4,192.168.179.46,ICMP,56.0,32,"[{'rtt': 8.013815}, {'rtt': 6.452463}, {'rtt': 6.292928}]",0,3,3,6.292928,8.013815,6.919735333333333,1009,62628,1789354380,Ping,77.160.120.252,ping,240,1789354440
5080,2.6.2,16,198.41.0.4,4,198.41.0.4,192.168.5.110,ICMP,54.0,32,"[{'rtt': 135.573283}, {'rtt': 135.150842}, {'rtt': 136.433525}]",0,3,3,135.150842,136.433525,135.71921666666665,1009,62647,1789354394,Ping,110.235.170.137,ping,240,1789354439
5080,2.6.2,15,198.41.0.4,4,198.41.0.4,192.168.4.40,ICMP,53.0,32,"[{'rtt': 27.409241}, {'rtt': 27.260108}, {'rtt': 28.003536}]",0,3,3,27.260108,28.003536,27.55762833333333,1009,62653,1789354419,Ping,142.126.155.21,ping,240,1789354448
5080,2.6.2,68,198.41.0.4,4,198.41.0.4,192.168.95.117,ICMP,53.0,32,"[{'rtt': 27.06286}, {'rtt': 26.909086}, {'rtt': 26.067327}]",0,3,3,26.067327,27.06286,26.67975766666667,1009,62667,1789354411,Ping,2.241.253.234,ping,240,1789354704
5080,2.6.2,38,198.41.0.4,4,198.41.0.4,192.168.1.202,ICMP,52.0,32,"[{'rtt': 203.911875}, {'rtt': 204.16974}, {'rtt': 203.43023}]",0,3,3,203.43023,204.16974,203.83728166666666,1009,62689,1789354401,Ping,202.123.131.198,ping,240,1789354501
5080,2.6.2,16,198.41.0.4,4,198.41.0.4,192.168.131.2,ICMP,54.0,32,"[{'rtt': 65.04968}, {'rtt': 64.267765}, {'rtt': 63.895489}]",0,3,3,63.895489,65.04968,64.40431133333333,1009,62704,1789354392,Ping,188.117.77.27,ping,240,1789354449
5080,2.6.2,15,198.41.0.4,4,198.41.0.4,172.16.17.80,ICMP,57.0,32,"[{'rtt': 27.086409}, {'rtt': 26.341889}, {'rtt': 26.618304}]",0,3,3,26.341889,27.086409,26.682200666666663,1009,62712,1789354421,Ping,88.146.115.33,ping,240,1789354462
5080,2.6.2,5,198.41.0.4,4,198.41.0.4,192.168.80.10,ICMP,54.0,32,"[{'rtt': 131.000708}, {'rtt': 130.612522}, {'rtt': 130.984548}]",0,3,3,130.612522,131.000708,130.86592600000003,1009,62720,1789354408,Ping,105.21.32.82,ping,240,1789354453
5080,2.6.2,26,198.41.0.4,4,198.41.0.4,10.255.255.253,ICMP,56.0,32,"[{'rtt': 7.890689}, {'rtt': 7.793959}, {'rtt': 7.666987}]",0,3,3,7.666987,7.890689,7.783878333333333,1009,62732,1789354436,Ping,94.31.94.94,ping,240,1789354471
5080,2.6.2,43,198.41.0.4,4,198.41.0.4,192.168.0.245,ICMP,52.0,32,"[{'rtt': 15.811624}, {'rtt': 15.829625}, {'rtt': 15.099493}]",0,3,3,15.099493,15.829625,15.580247333333334,1009,62743,1789354398,Ping,45.8.205.130,ping,240,1789354493
5080,2.6.2,24,198.41.0.4,4,198.41.0.4,10.10.3.1,ICMP,58.0,32,"[{'rtt': 7.870662}, {'rtt': 8.494321}, {'rtt': 7.786494}]",0,3,3,7.786494,8.494321,8.050492333333333,1009,62753,1789354418,Ping,185.58.8.1,ping,240,1789354492
5080,2.6.2,22,198.41.0.4,4,198.41.0.4,172.16.67.133,ICMP,51.0,32,"[{'rtt': 33.629287}, {'rtt': 33.721935}, {'rtt': 34.194619}]",0,3,3,33.629287,34.194619,33.84861366666667,1009,62760,1789354416,Ping,185.14.232.54,ping,240,1789354451
5080,2.6.2,12,198.41.0.4,4,198.41.0.4,10.102.20.33,ICMP,248.0,32,"[{'rtt': 36.119627}, {'rtt': 35.837439}, {'rtt': 35.689106}]",0,3,3,35.689106,36.119627,35.882057333333336,1009,62763,1789354413,Ping,88.135.70.227,ping,240,1789354447
5080,2.6.2,8,198.41.0.4,4,198.41.0.4,172.16.76.230,ICMP,55.0,32,"[{'rtt': 61.203007}, {'rtt': 40.552808}, {'rtt': 44.657997}]",0,3,3,40.552808,61.203007,48.804604000000005,1009,62768,1789354420,Ping,216.245.86.140,ping,240,1789354505
5080,2.6.2,59,198.41.0.4,4,198.41.0.4,10.0.48.2,ICMP,57.0,32,"[{'rtt': 15.490517}, {'rtt': 15.484037}, {'rtt': 14.96815}]",0,3,3,14.96815,15.490517,15.314234666666666,1009,62774,1789354390,Ping,72.29.61.57,ping,240,1789354458
5080,2.6.2,4,198.41.0.4,4,198.41.0.4,192.168.1.207,ICMP,52.0,32,"[{'rtt': 21.864367}, {'rtt': 22.175437}, {'rtt': 21.982778}]",0,3,3,21.864367,22.175437,22.007527333333332,1009,62785,1789354410,Ping,142.204.179.87,ping,240,1789354458
5080,2.6.2,17,198.41.0.4,4,198.41.0.4,192.168.98.20,ICMP,52.0,32,"[{'rtt': 31.158415}, {'rtt': 30.689822}, {'rtt': 30.831672}]",0,3,3,30.689822,31.158415,30.893303,1009,62802,1789354389,Ping,142.188.112.51,ping,240,1789354477
5080,2.6.2,3,198.41.0.4,4,198.41.0.4,192.168.8.68,ICMP,56.0,32,"[{'rtt': 60.530616}, {'rtt': 60.87993}, {'rtt': 61.074189}]",0,3,3,60.530616,61.074189,60.828245,1009,62815,1789354439,Ping,46.175.134.10,ping,240,1789354499
5080,2.6.2,24,198.41.0.4,4,198.41.0.4,192.168.221.251,ICMP,54.0,32,"[{'rtt': 77.377379}, {'rtt': 77.983423}, {'rtt': 77.703562}]",0,3,3,77.377379,77.983423,77.68812133333334,1009,62831,1789354422,Ping,62.122.137.250,ping,240,1789354453
